Area_Type,Availability,Location,Size,Society Name,Total_Sqft,No of Bathroom,No of Balcony,Price in Lakhs,Price per sqft
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2,3,43,3772
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1220,2,1,57,4672
Plot  Area,Ready To Move,Devarachikkanahalli,8 BHK,,1350,7,0,85,6296
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1005,2,1,36.68,3650
Plot  Area,Ready To Move,Double Road,3 BHK,,500,3,2,100,20000
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,2,1,80.58,5934
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3,1,101,6437
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2,1,70,5645
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3,2,140,6702
Super built-up  Area,Ready To Move,Kothannur,2 BHK,,1206,2,1,48.23,3999
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2,3,40,3478
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3,3,205,8164
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,460,1,0,22,4783
Built-up  Area,Ready To Move,ISRO Layout,6 BHK,,4400,6,3,250,5682
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2,2,105,6325
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2,2,78,5882
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,,1325,2,2,60.8,4589
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,5,2,102,6805
Built-up  Area,Ready To Move,Hegde Nagar,6 BHK,,3000,7,2,210,7000
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1665,3,2,88,5285
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2,2,37,5226
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2,2,58.06,5477
Plot  Area,Ready To Move,Rajaji Nagar,6 BHK,,710,6,3,160,22535
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2,2,70,7000
Super built-up  Area,18-Dec,Electronic City,2 BHK,,1000,2,1,28.88,2888
Super built-up  Area,Ready To Move, Mysore Highway,3 BHK,,1450,2,2,70,4828
Plot  Area,Ready To Move,ISRO Layout,4 BHK,,1200,4,2,155,12917
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,2,3,80,6173
Super built-up  Area,Ready To Move,Domlur,3 BHK,,1540,3,2,90,5844
Plot  Area,Ready To Move,Kengeri,4 BHK,Goardth,2894,4,1,245,8466
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,,1330,2,1,48,3609
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,,1200,2,1,65,5417
Built-up  Area,Ready To Move,T Dasarahalli,3 BHK,,1200,3,1,90,7500
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2502,3,3,138,5516
Built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,650,1,1,17,2615
Plot  Area,Ready To Move,Kothanur,3 BHK,BDensar,2400,2,1,150,6250
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,Makeser,1007,2,2,43,4270
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,Maest N,1200,2,2,50,4167
Super built-up  Area,Ready To Move,Peenya,2 BHK,,966,2,2,49.9,5166
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,,1630,2,1,98,6012
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1640,3,2,229,13963
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,,782,2,2,55.68,7120
Super built-up  Area,19-Apr,Devanahalli,2 BHK,Oznuean,1260,2,2,66.78,5300
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,,1800,3,3,120,6667
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Reeroce,1413,2,2,75,5308
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116,2,1,51.91,4651
Super built-up  Area,Ready To Move,Electronic City,3 BHK,DSgmax ,1530,2,1,45.9,3000
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 BHK,,3700,4,1,225,6081
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Cetattu,2497,3,2,140,5607
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Vaens G,1540,2,3,64,4156
Super built-up  Area,18-Dec,Thanisandra,3 BHK,,1436,3,1,74.75,5205
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,,1100,2,2,75,6818
Plot  Area,Ready To Move,Hennur Road,2 BHK,,276,3,3,23,8333
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Moity S,1427,3,2,120,8409
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,HiahsLa,2061,3,1,200,9704
Built-up  Area,Ready To Move,Shampura,4 BHK,,2650,4,2,150,5660
Super built-up  Area,22-Dec,Devanahalli,3 BHK,Sabixtt,1282,2,2,68.52,5345
Built-up  Area,Ready To Move,Kadugodi,2 BHK,,1050,2,1,34,3238
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,Sragei ,1600,3,2,65,4063
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,,945,2,1,54,5714
Super built-up  Area,Ready To Move,Hormavu,2 BHK,SyidaCr,1500,2,1,78,5200
Plot  Area,Ready To Move,Vishwapriya Layout,7 BHK,,950,7,0,115,12105
Built-up  Area,Ready To Move,Peenya,3 BHK,Jahts H,1870,3,3,110,5882
Plot  Area,Ready To Move,Sarjapur,3 BHK,Inensba,1600,3,1,75,4688
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,1,1,16.5,1875
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 BHK,,1200,4,0,210,17500
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3,2,83,5407
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Wiowsri,950,2,1,57,6000
Super built-up  Area,18-Aug,Devanahalli,2 BHK,Derdsig,1360,2,1,65,4779
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,,1280,3,1,50.4,3938
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,TiaksAa,1260,2,2,85.05,6750
Built-up  Area,Ready To Move,Hennur Road,8 BHK,,5000,8,,250,5000
Super built-up  Area,19-Dec,Yelahanka,5 BHK,LedorSa,3050,5,1,213,6984
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMwerCo,1563.05,3,1,105,6718
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,,1000,2,1,60,6000
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1167,2,1,43.76,3750
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,,4000,7,2,225,5625
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1828,3,,110,6018
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,HoiewLa,890,2,1,35,3933
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,Dwity T,1612,3,3,46.74,2900
Plot  Area,Ready To Move,Dinnur,6 BHK,,1034,5,,185,17892
Super built-up  Area,19-Apr,Mysore Road,3 BHK,Brama P,1710,4,2,91.31,5340
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2,1,58,6061
Super built-up  Area,18-May, Devarachikkanahalli,3 BHK,,1250,2,3,44,3520
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,Betatsi,2795,4,,235,8408
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Prcan P,1125,2,2,50,4444
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1020,2,1,30.6,3000
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1200,2,2,50,4167
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1735,3,3,135,7781
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,G conTh,2050,3,1,145,7073
Plot  Area,Ready To Move,Mahalakshmi Layout,4 BHK,,3750,4,0,760,20267
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,,1350,2,3,48,3556
Super built-up  Area,18-May,Hosa Road,2 BHK,SStusan,1063,2,1,32,3010
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,ETens G,1904,3,1,150,7878
Built-up  Area,Ready To Move,Whitefield,4 BHK,,4200,4,2,420,10000
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,Hohnari,2000,3,1,175,8750
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,Naods W,1425,2,2,75,5263
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1500,2,1,64.5,4300
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1060,2,1,60,5660
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,Sancyra,1470,2,2,70,4762
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,,1300,6,0,99,7615
Super built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450,1,1,11,2444
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1152,2,1,64.5,5599
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1350,2,1,56,4148
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Srshq T,1550,3,3,65,4194
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 BHK,,1500,3,2,100,6667
Plot  Area,Ready To Move,Kumaraswami Layout,5 BHK,,600,3,2,85,14167
Plot  Area,Ready To Move,Nagavara,1 BHK,,400,1,0,14,3500
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,Utntspa,705,1,2,67,9504
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,770,1,1,36,4675
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Aniona ,1242,2,3,51,4106
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1700,3,2,155,9118
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144,3,2,145,6763
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saahaat,1704,3,2,110,6455
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070,2,1,52,4860
Plot  Area,Ready To Move,8th block Koramangala,3 BHK,,1846,3,2,300,16251
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,1340,2,2,55.7,4157
Built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1025,2,1,46,4488
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,VRave E,1200,2,2,52,4333
Built-up  Area,18-Dec,Kanakpura Road,4 BHK,,2250,4,1,110,4889
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,MaidoPl,1550,2,3,80,5161
Plot  Area,Ready To Move,Bellandur,4 BHK,,1200,5,,325,27083
Plot  Area,Ready To Move,Ejipura,7 BHK,,1800,7,1,250,13889
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aiitya ,1200,2,2,60,5000
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327,2,2,98,7385
Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1186,2,2,58,4890
Built-up  Area,Ready To Move,MS Pallya,3 BHK,,1783,3,1,115,6450
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,NRosete,1400,3,2,56,4000
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,,980,2,1,48,4898
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,,1285,2,2,82,6381
Super built-up  Area,Ready To Move,Langford Town,3 BHK,,912,2,1,70,7675
Built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1225,2,2,47.6,3886
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1075,2,1,53,4930
Built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1260,2,2,54,4286
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Pyikad ,1282,2,2,48.7,3799
Super built-up  Area,Ready To Move,Kogilu,3 BHK,CaIRSCr,1909,3,2,88,4610
Super built-up  Area,Ready To Move,Panathur,2 BHK,Prcesvy,1359,2,1,87,6402
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,,1207,2,2,43.5,3604
Plot  Area,Ready To Move,Padmanabhanagar,4 BHK,,1736,6,0,190,10945
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,,2850,4,1,428,15018
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,Emstael,1595,3,2,65,4075
Built-up  Area,18-Jun,"Off Sarjapur Road, ",3 BHK,,1798,3,2,89,4950
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,SNdri N,1475,3,2,78.29,5308
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,HodhiSa,1580,3,3,100,6329
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,Syonyph,1295,2,1,65,5019
Built-up  Area,Ready To Move,Magadi Road,6 BHK,,3600,6,0,141,3917
Super built-up  Area,Ready To Move,Electronic City,1 BHK,Itvir M,589,1,1,27,4584
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,,1415,3,3,78,5512
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,Klark L,1787,3,2,98.29,5500
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1787,3,2,125,6995
Super built-up  Area,Ready To Move,Koramangala,3 BHK,Piityra,1475,2,3,90,6102
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,,2000,4,1,75.5,3775
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,AsastDe,984,2,1,44.28,4500
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,MacleK ,2405,4,2,260,10811
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1080,2,2,72,6667
Plot  Area,Ready To Move,Shantiniketan Layout,2 BHK,,1500,2,1,115,7667
Super built-up  Area,Ready To Move,Hebbal,3 BHK,,1900,3,2,119,6263
Super built-up  Area,19-Aug,Dommasandra,2 BHK,,805,2,1,22.14,2750
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153,2,2,56.4,4892
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,AlEcone,1148,2,2,60,5226
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,Laowsba,1110,2,2,55,4955
Built-up  Area,Ready To Move,Electronic City,2 BHK,Saave R,1100,2,2,42,3818
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,Anave S,1290,2,2,110,8527
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,,1500,2,1,65,4333
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,,1080,2,2,39,3611
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,1933,3,1,129,6674
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 BHK,,3500,5,2,150,4286
Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,,1060,2,2,60,5660
Super built-up  Area,18-Aug,Chandapura,1 BHK,SunceEs,645,1,1,16.45,2550
Plot  Area,Ready To Move,Mukkutam Nagar,8 BHK,,2600,8,2,180,6923
Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645,1,1,16.45,2550
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1644,3,3,84,5109
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,Supams ,1285,2,3,72.5,5642
Plot  Area,Ready To Move,Electronic City,3 BHK,,1200,3,1,90,7500
Super built-up  Area,Ready To Move,Electronic City,2 BHK,CoapeSo,910,2,1,40,4396
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Bisic C,1577,3,1,70,4439
Plot  Area,17-May,Meenakunte,3 BHK,Sreat R,4050,3,2,280,6914
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,Inntsa ,2420,3,2,185,7645
Super built-up  Area,Ready To Move,Chandapura,2 BHK,KHityry,800,1,1,20,2500
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,,1060,2,2,55,5189
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,BriumMi,1270,2,2,93,7323
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2 BHK,,900,2,2,22.5,2500
Built-up  Area,Ready To Move,Kundalahalli Colony,2 BHK,,1280,2,1,69,5391
Plot  Area,Ready To Move,Horamavu Agara,4 BHK,,1200,2,0,95,7917
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1025,2,2,36,3512
Super built-up  Area,17-Jun,Electronic City,2 BHK,Prarkun,1108,2,1,63,5686
Plot  Area,Ready To Move,MCECHS  layout,5 BHK,,1200,5,,170,14167
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,Calyxy ,3045,3,2,170,5583
Plot  Area,Ready To Move,Ambedkar Nagar,4 BHK,Thessrm,2900,3,2,300,10345
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,JJortom,1500,3,2,75.5,5033
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295,2,2,43.9,3390
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1162,2,1,59.9,5155
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Usquaya,1035,2,2,49.2,4754
Built-up  Area,Ready To Move,Attibele,4 BHK,Natic T,1600,4,0,52.8,3300
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,,1464,3,2,46,3142
Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,1866,2,2,61.58,3300
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,Jahtsa ,700,1,1,26,3714
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Prillot,1804,3,2,120,6652
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,,913,2,1,32,3505
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,Sodgere,1868,3,2,131,7013
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,,883,2,1,45,5096
Plot  Area,Ready To Move,Sundara Nagar,2 BHK,,900,2,1,110,12222
Super built-up  Area,Ready To Move,Kogilu,3 BHK,,1664,2,3,73.95,4444
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoitaCa,2026,3,2,132,6515
Super built-up  Area,Ready To Move,Balagere,2 BHK,Soestin,1210,2,1,80.9,6686
Plot  Area,Ready To Move,Meenakunte,4 BHK,Sreat R,4111,4,2,250,6081
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,Alestrb,1762,3,3,91.45,5190
Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1252,3,3,55,4393
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,Mauner ,861,2,1,34.5,4007
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1420,2,1,100,7042
Plot  Area,Ready To Move,Srirampura,6 BHK,,1450,6,0,250,17241
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1490,3,1,78.8,5289
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,,1075,2,1,46,4279
Super built-up  Area,18-Aug,Old Madras Road,3 BHK,Saesttt,1425,2,2,94,6596
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Nae 2El,1200,2,1,40,3333
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,,1280,2,2,56,4375
Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,Bhinglv,1084,2,2,50,4613
Super built-up  Area,18-Jul,Chandapura,2 BHK,SunceEs,1015,2,2,25.88,2550
Super built-up  Area,21-May,Kanakpura Road,2 BHK,GolusLi,1017,2,1,51.25,5039
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1027,2,2,44,4284
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coush W,1069,2,2,45,4210
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1349,2,1,98.2,7279
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,NaensGa,1005,2,1,50,4975
Super built-up  Area,Ready To Move,Jakkur,2 BHK,Arzzo P,1417,2,3,75,5293
Plot  Area,18-Jan,TC Palaya,3 BHK,,1475,3,1,98,6644
Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,SMikaay,950,2,2,47,4947
Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,Prave E,2000,4,0,120,6000
Plot  Area,Ready To Move,Giri Nagar,3 BHK,,880,3,1,140,15909
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Ahriaup,1863,3,2,104,5582
Super built-up  Area,Ready To Move,Singasandra,2 BHK,Priewhi,1010,2,1,29.5,2921
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,Shodsth,1425,2,1,70,4912
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,Swadeh ,1450,3,0,100,6897
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1847,3,2,105,5685
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,Soran U,1100,2,3,45,4091
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,PrarePa,525,1,1,26,4952
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Puestig,1665,3,2,95,5706
